,gap,s
10,2.8670996732777487,368.10469281915675
11,2.92871645867523,449.8047104747791
12,2.980397180931808,294.4437188361154
13,3.033541367580705,316.16531627194036
14,3.0748970281707813,369.637711637121
15,3.1138071960038998,338.4335400295473
16,3.131633449336608,305.0089201379584
17,3.162305907945906,210.0924925355906
18,3.174386984496339,224.08843482865188
19,3.221422930774823,229.3909630802942
20,3.2280700815921612,245.33128806617933
21,3.29417168473726,259.10226231220935
22,3.3271802364908387,254.0752869071734
23,3.326528075520378,202.1218289808336
24,3.36722080845942,277.1553086792396
25,3.382224134537214,334.4475329457856
26,3.3941230439253998,341.8628775839764
27,3.4238784327250658,247.8248934843111
28,3.448138595829569,302.7709388376983
29,3.4587137360873452,228.3011781323963
30,3.4790972903141952,292.3991789107783
